Salario,Empresa,Comuna,Región,Cargo,Descripción
NaN,NaN,NaN,NaN,NaN,NaN
640000,Atcom,Punta Arenas,Magallanes y Antártica Chilena,Ejecutivo(a) de Ventas de Seguros de Salud - Punta Arenas,"Importante Compañía de Seguros se encuentra en búsqueda de su próximo Ejecutivo de Ventas, para realizar cobertura en centros de salud en Punta Arenas.   Requisitos excluyentes: - Enseñanza media completa - Experiencia laboral en el área Comercial. - Poseer conocimientos y noción de la venta de Intangibles y Servicios.  Jornada laboral: - Formato Presencial en alguna sucursal de la ciudad de Punta arenas (Se considerará asignación según domicilio del candidato a la sucursal mas cercana) - Turnos rotativos de Lunes a Viernes de 8:00 a 15:40 hrs y de 10:00 a 18:30 hrs. - 2 Sábados del mes, en horario de 8:00 a 13:00 hrs.  Renta liquida mensual: $640.000 + Comisiones (En promedio $1.100.000)  Funciones del cargo: - Asistir de manera presencial a Clínicas y Centro Médicos de la zona. - Estudiar y conocer acerca de los productos y servicios de la compañía. - Promocionar y gestionar ventas de Seguros de Salud, Catastróficos y Complementarios.  Condiciones especiales y Beneficios: -Se entregará una Tablet para trabajar y se asignará adicionalmente $7.000 para cubrir gastos de internet de plan internet móvil personal.-Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Palabras clave: cambaceo, sales, insurance, aseguradora, seguros, health, salut"
400000,Grupo Eulen,Huechuraba,Metropolitana,"Operador CCTV para la comuna de Pudahuel, renta liq $400,000 - Turno 2x5  Part time","Nos encontramos en búsqueda de personas que se quieran desempeñar en el cargo de operador CCTV para importante cervecería ubicada en la comuna de Pudahuel   Jornada: Part Time (2x5) fines de semana y festivos.  Turnos rotativos (día y noche)     Requisitos:  -Curso OS10 vigente  -Certificado de Operador CCTV.  -Residencia en Pudahuel o comunas cercanas  -Experiencia de 6 meses en el cargo  -DISPONIBILIDAD PARA REALIZARSE EXAMENES PREOCUPACIONALES  -Buenas relaciones interpersonales, pro actividad y responsabilidad  -Conocimientos en computación y manejo de dispositivos tecnológicos.   ¿Qué ofrecemos?  -Renta liquida: $400.000 líquidos  -Uniforme completo  -Proyección laboral.   Funciones:  - Vigilar y proteger las distintas dependencias asignadas a través del monitoreo de sistemas electrónicos disponibles (software)  - Controlar los movimientos de personas, materiales y equipos de la instalación a través de los medios electrónicos disponibles, especialmente en horarios inhábiles  - Prevenir situaciones de robo, accidente o incendio de acuerdo a los procedimientos establecidos  - Contacto remoto vía telefónica con clientes para reportar incidencias y autorizar accesos y movimientos especiales en la instalación  - Reporte en los sistemas las novedades de las distintas situaciones ocurridas en la instalación  - Realizar las rondas virtuales y controles solicitados y pactados para la instalación  - Control y seguimiento de rondas de guardias en terreno a través del software geo-referenciados disponibles y avisar incidencias al supervisor   Interesados favor postular por este medio y los contactaremos   ¡Te esperamos!.   -Requerimientos- Educación mínima: Educación básica 1 año de experiencia Edad: entre 18 y 60 años Personas con discapacidad: Sí Palabras clave: operator, operario, operator, videovigilancia, circuito, cerrado, television"
NaN,VEOLIA HOLDING CHILE S.A.,Quinta Normal,Metropolitana,Ingeniero Civil con experiencia en modelos hidráulicos de medicion de caudales rios o similar,"Empresa presente en el país desde hace más de 30 años, es líder en la gestión, optimización y valorización de agua, energía y residuos, opera en Chile entregando a todos sus clientes, calidad de servicio, innovación y tecnología de reconocimiento internacional, nos encontramos en búsqueda de un Ingeniero Civil Hidráulico de Modelacion Y Sotfware con experiencia en Modelos hidráulicos e hidrológicos de Cuencas quien tendra que realizar mantención y programación de los modelos Hidráulicos, realizando cálculos hidráulicos y reportes de calibración, estudio de modelos de medición de caudal, entre otros, para la comuna de Quinta Normal. ¿Cuál es tu reto? - Velar por la disponibilidad operativa del Software de Alerta Hidrológica. - Velar por la disponibilidad de datos en calidad y oportunidad en las Estaciones de Alerta Hidrológica, siempre que la infraestructura de comunicaciones se encuentre disponible. - En situaciones de crecidas del Río Mapocho, analizar, evaluar resultados e identificar áreas de mejora. - Satisfacer necesidades de clientes internos o externos a través de la adecuada aplicación de estándares y procedimientos; o bien, a través del diseño y/o desarrollo de soluciones adecuadas. - Participar en equipos de trabajo multidisciplinarios. - Abordar actividades de desarrollo, coordinación, supervisión o contraparte según le sea requerido. - Buscar y lograr retroalimentación asociada a su quehacer a objeto de orientarse a la mejora continua. - Realizar otros trabajos similares de importancia equivalente, a requerimiento de la Jefatura. - Asegurar la calidad del trabajo realizado de acuerdo a los estándares definidos. - Elaborar en calidad y oportunidad los informes o reportes que le sean solicitados.  ¿Qué buscamos de ti? - Profesional Ingeniero Civil Hidráulico con experiencia mínima de 3 años en Modelos hidráulicos o hidrológicos de Cuencas ( Excluyente). -Conocimiento y experiencia en mediciones y cálculos hidráulicos y reportes de calibración - Estudio de modelos de medición de caudal y gestión y coordinación de proyectos - Calculo de los modelos de medición de caudal y post-procesado de datos obtenidos con ADCP -Ideal Manejo de Softwere : Python ; HEC-RAS, SWMM, EPANET, SQL, WEAP, MODFLOW: QGIS, ARCGIS, Iber, Qrev, WinRiver ¿Qué ofrecemos? Renta acorde ala mercado Beneficios empresa Lugar Quinta Normal Horario de lunes a viernes.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: engineers, ingeniera, ing, engineer"
NaN,Atcom,Mostazal,Libertador B. O Higgins,Operador Polifuncional - San Francisco de Mostazal.,"Importante empresa del rubro industrial se encuentra en búsqueda de un Operario Polifuncionales para San Francisco de Mostazal.  Funciones: 	Apoyar en limpieza 	Apoyar en movilización de cajas  	Apoyar en paletizado  	Apoyar en desgaje de cajas  Requisitos 	Cuarto medio rendido  	Ideal experiencia en empresas industriales  Condiciones:  Renta: $560.000  Tipo de jornada: Completa Modalidad: Presencial  Horario de Lunes a Sábado en turnos rotativos:  Turno A (6:00 a 13:30) Turno B (13:30 a 21:00)  Turno C (21:00 a 6:00)  .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: operator, operario, operator"
640000,Atcom,Punta Arenas,Magallanes y Antártica Chilena,Ejecutivo(a) de Ventas de Seguros de Salud - Punta Arenas,"Importante Compañía de Seguros se encuentra en búsqueda de su próximo Ejecutivo de Ventas, para realizar cobertura en centros de salud en Punta Arenas.   Requisitos excluyentes: - Enseñanza media completa - Experiencia laboral en el área Comercial. - Poseer conocimientos y noción de la venta de Intangibles y Servicios.  Jornada laboral: - Formato Presencial en alguna sucursal de la ciudad de Punta arenas (Se considerará asignación según domicilio del candidato a la sucursal mas cercana) - Turnos rotativos de Lunes a Viernes de 8:00 a 15:40 hrs y de 10:00 a 18:30 hrs. - 2 Sábados del mes, en horario de 8:00 a 13:00 hrs.  Renta liquida mensual: $640.000 + Comisiones (En promedio $1.100.000)  Funciones del cargo: - Asistir de manera presencial a Clínicas y Centro Médicos de la zona. - Estudiar y conocer acerca de los productos y servicios de la compañía. - Promocionar y gestionar ventas de Seguros de Salud, Catastróficos y Complementarios.  Condiciones especiales y Beneficios: -Se entregará una Tablet para trabajar y se asignará adicionalmente $7.000 para cubrir gastos de internet de plan internet móvil personal.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Palabras clave: cambaceo, sales, insurance, aseguradora, seguros, health, salut"
NaN,Progestion Chile,Cartagena,Valparaíso,Gestor Trade Marketing en Terreno /cartagena,"Importante empresa con gran presencia a nivel nacional requiere incorporar a su equipo Gestores Trade Marketing para trabajar en terreno. Buscamos personas para gestionar y realizar implementación de material publicitario ligero, muebles de mediano y gran tamaño, actividades de levantamiento de información en diferentes cadenas de canal tradicional y moderno, entre otras funciones propias del cargo. Requisitos del cargo:  Experiencia previa implementando material POP ligero. (deseable)  Experiencia en análisis y levantamiento de información y/o realizando reportaría para el área.  Disponibilidad para trabajar por boletas de honorario (por campaña)  Disponibilidad para movilizarse a los distintos puntos de ventas.  Movilización propia. Si te interesa esta oportunidad laboral postula con nosotros.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Disponibilidad de viajar: Si Palabras clave: residente, encargado, supervisor, subgerente, responsable, coordinador, gestor, capitan, comercio, mercadotecnia, marketing, mercadeo, campo, terreno, territorio"
2000000,Act S.A.,Antofagasta,Antofagasta,Jefe de Proyecto - Minería,"Empresa del rubro tecnológico y de telecomunicaciones busca un/a Ingeniero/a Civil en Minas para desempeñarse como Jefe/a de Proyecto en faena minera ubicada en la zona de Antofagasta y Tarapacá.  El/la profesional será responsable de supervisar el proyecto de levantamiento de información geodésica, asegurando su gestión integral y manteniendo una comunicación fluida y efectiva entre el cliente y la empresa. Además, liderará un equipo multidisciplinario conformado por Ingenieros Geomensores, Topógrafos y Pilotos de Dron, garantizando la ejecución eficiente y precisa de las actividades del proyecto.  Principales funciones: - Supervisar y optimizar los procesos operativos en terreno, garantizando la eficiencia y seguridad en la ejecución del proyecto. - Actuar como el principal punto de contacto con el cliente, asegurando una comunicación efectiva y oportuna. - Monitorear el cumplimiento de los indicadores clave de desempeño del proyecto (alcance, plazos, costos y calidad), implementando acciones correctivas en caso de desviaciones. - Elaborar y presentar informes técnicos y de gestión a la empresa y/o al cliente, asegurando la entrega de información clara, precisa y oportuna. - Mantener una reportabilidad continua en el sistema de gestión interno designado.  Requisitos:  - Titulo Universitario en Ingeniería Civil en Mina. - Experiencia laboral de 3 años en operación y planificación de proyectos mineros, con trabajo presencial en terreno, in situ, en mina. - Experiencia en gestión y comunicación directa con clientes, asegurando el cumplimiento de expectativas y la alineación con los objetivos estratégicos de la empresa. - Manejo y conocimiento de Software Vulcan. - Licencia de conducir Clase B.  ¿Qué ofrecemos? - Contrato: plazo fijo, con posibilidad de pasar a indefinido luego de evaluación. - Modalidad 100% presencial en Faenas Mineras de la región de Antofagasta y Tarapacá. - Jornada por sistema de turnos de 4X3 - 7X7. - Renta liquida ofrecida desde $2.000.000. - Beneficios Corporativos.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Licencias de conducir: B   Palabras clave: lider, jefe, gerente, manager, director, chief, lead, jefatura, regente, project, miner, mineria, minero"
NaN,Progestion Chile,Coquimbo,Coquimbo,Supervisor Canal Moderno Coquimbo/La Serena - Consumo masivo,"Ofrecemos sueldo liquido aproximado de $900.000 (monto incluye bonos por cumplimiento de KPI) + monto por concepto de rendición. Ofrecemos:Somos Grupo Progestion, expertos en consultoría, servicios de outsourcing y selección de personal, con más de 25 años en el mercado, ofrecemos soluciones 360 a nuestros clientes a través de diversos servicios relacionados con el área de outsourcing, servicios transitorios, reclutamiento y selección, capacitación, retail, trade marketing, diseño y producción, logística integral, transferencia tecnológica e inteligencia de negocios. Actualmente nos encontramos en la búsqueda de un Supervisor Zonal para importante cliente del rubro canal moderno, para realizar funciones en ruta por la IV región.  La persona que se integre al equipo de trabajo deberá cumplir con el envío de reportes según se requiera, exigir cumplimiento de exhibiciones en punto de venta según lo establecido por el área comercial, administrar KPIs de stock, ajustes, implementación exhibiciones, reporteria de información recopilada del trabajo en terreno, fomentar, incrementar y realizar ventas del producto, entre otras funciones propias de supervisor zonal. Responsabilidades: - Supervisar y visitar todos los puntos de ventas según ruta asignada. - Realizar levantamientos de información de los PDV. - Entregar información respecto a reglamento interno de la empresa, verificando y garantizando la recepción de este por parte del equipo. - Entregar instrucciones claras al equipo para la correcta ejecución e implementación de todo el material gráfico como formularios, catálogos, material POP entre otros. - Realizar la debida reporteria en forma, tiempo y condiciones a jefatura y/o coordinador de cuenta, según lo requerido y de acuerdo a los protocolos de la marca/empresa. - Entre otras funciones propias del cargo. Requisitos: Estudios superiores en carreras comerciales y/o afín (deseable) Experiencia comprobable al menos 3 años, como supervisor canal moderno (supermercado) (excluyente). Conocimientos de uso de aplicaciones de asistencia digital y auditoria de punto de venta (excluyente) Nivel de excel de intermedio (deseable) Debes contar con movilización propia (excluyente). Disponibilidad para realizar ruta por la IV región. Disponibilidad para trabajar de lunes a sábado. Condiciones de la vacante: De lunes a viernes de 08:30 a 17:00 hrs. / sábado de 08:30 a 13:00 hrs. Modalidad presencial en ruta, IV región.  Tipo de contrato: 1 mes + 2 meses plazo fijo a indefinido según desempeño. - Convenio odontológico - Convenio con ópticas - Convenios bancarios - Convenio con gimnasio - Afiliación con CC. Los Andes Si cumples con los requisitos y estás buscando una oportunidad laboral, no dudes en postular con nosotros. ¡Te esperamos en Progestion Chile!.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Palabras clave: residente, encargado, supervisor, subgerente, responsable, coordinador, gestor, capitan"
11111111,IT People S.A.,Las condes,Metropolitana,Consultor SAP TM - Hibrido RM,"Consultor SAP TM  Consultor SAP TM para proyecto de Implementación SAP S/4HANA en RISE (4 países con un modelo Clean Core unificado)  Se requiere especialización en la implementación y gestión del módulo SAP TM para optimizar y gestionar procesos de transporte en empresas.  • Análisis de los requisitos del cliente y diseño de soluciones personalizadas. • Configuración y personalización del sistema SAP TM. • Integración del módulo SAP TM con otros módulos de SAP y sistemas externos. • Capacitación y soporte a los usuarios finales. • Resolución de problemas y optimización de procesos.  Skills obligatorios:  - SAP TM - SAP SD  Conocimientos:  Metodología SAP Activate. Integración de sistemas. Conocimientos en la migración de datos desde sistemas heredados a SAP S/4HANA. Configuración y personalización en SAP TM y SAP S/4HANA.Gestión de proyectos: Experiencia en la gestión de proyectos de implementación de software. Conocimientos en la nube de SAP, como SAP Business Technology Platform y SAP Business Network. Capacitación y soporte.  Condiciones: Duración de la Asignación: 1 año Horario de Trabajo: 09:00 a 18:00 hrs. Modalidad de Trabajo: Hibrido .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Edad: A partir de 30 años Conocimientos: Tecnología de la información Palabras clave: consultant, consultor"
NaN,GF SYSTEM,Puerto Montt,Los Lagos,Junior para Rent a Car en Puerto Montt," ¡Estamos buscando un Junior para Rent a Car en Puerto Montt!  En GF Rent, nos dedicamos a ofrecer un servicio de arriendo de vehículos de calidad, y buscamos un Junior responsable y proactivo para unirse a nuestro equipo en Puerto Montt.  Funciones principales:  Traslado de vehículos entre sucursales y clientes.   Compra y cotización de insumos.   Lavado y mantenimiento básico de los vehículos.  Requisitos:  Mayor de 30 años.   Licencia de conducir vigente.   Experiencia previa manejando vehículos (idealmente en un puesto similar).   Persona responsable, organizada y con buen trato hacia clientes y equipo.  Horario:  Lunes a viernes de 09:00 a 18:00 hrs. (1 hora de colación).   Sábados hasta las 13:00 hrs.  Condiciones:  Sueldo: $600.000 líquidos.  Ubicación: Puerto Montt. Si cumples con los requisitos y te interesa formar parte de un equipo dinámico.  ¡Te esperamos para que seas parte de nuestro equipo!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Edad: entre 30 y 55 años Licencias de conducir: B   Disponibilidad de viajar: Si Palabras clave: jr, junior, automovil, coche, automocion, car, automotive"
NaN,Page Personnel,Santiago Centro,Metropolitana,Desarrollador PLsql - Proyecto,"Nos encontramos en búsqueda de 5 Desarrollador PLSQL para ser incorporado a proyecto 4 meses con posibilidades de extensión junto a cliente socio AFP.   Perfil requerido:  - Poseer al menos 4 años de experiencia como desarrollador PLSQL  - Experiencia trabajando para entidades AFP y AFP NET  - Experiencia trabajando con bases de datos Oracle - Desarrollo  - Experiencia trabajando con SQL Server  Ofrecemos:  - Contrato plazo fijo  - Proyecto 4 meses con posibilidades de extensión  - Trabajo híbrido 3x2 - Posibilidades de pasar a contrato con cliente según desempeño y disponibilidad interna.  -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 4 años de experiencia Palabras clave: developer, programador, project"
800000,GRUPO EXPRO,Puente Alto,Metropolitana,Operador de central Hidroeléctrica - Puente Alto,"GrupoExpro junto a importante empresa industrial, se encuentra en búsqueda de Operador de central Hidroeléctrica. La postulación se encuentra abierta para que puedan postular personas con discapacidad o bajo el marco de la ley 21.015. Si requieres algún ajuste razonable para participar en el proceso de selección, avísanos para facilitar tu participación en igualdad de oportunidades (Ley 20.422).  Responsable de supervisar y operar de manera segura los activos de generación y transmisión en las centrales hidroeléctricas. Esto implica gestionar y controlar la infraestructura hidráulica, de generación y de transporte de energía, asegurando un suministro energético continuo y eficiente. El operador debe aplicar procedimientos técnicos y de seguridad para maximizar la producción energética y optimizar la disponibilidad de los activos, preservando la continuidad del servicio y minimizando interrupciones.  Funciones principales  Control, supervisión y operación de centrales de generación de energía eléctrica Control, supervisión y operación de sistemas hidráulicos de compuertas de Bocatoma de Puntilla Inspeccionar acciones rutinarias y no rutinarias, con el objeto de evitar y corregir anomalías.	  Operación de instalaciones de Media Tensión Registro, análisis y elaboración de informes de fallas Resolución de problemas técnicos en apoyo a mantenimiento Ejecución de trabajos de Media Tensión  Requisitos:  • Título de Ingeniero Ejecución o Técnico de nivel superior en Electricidad y Automatización, o en Electricidad con mención en Potencia. • 1 año de experiencia en el área eléctrica, deseable relacionada al sector hidroeléctrico. • Licencia de Instalador Eléctrico SEC Clase A o B • Dominio intermedio o avanzado en computación y Microsoft Office. Es deseable experiencia en softwares específicos, como SCADA, protecciones eléctricas y PLC. • Licencia de conducir Clase B  Se ofrece: Renta acorde al mercado Contrato directo con empresa  Ubicación: Puente Alto   Si estas interesado y cumples con los requisitos, postula con nosotros.   ¡Te esperamos! .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 2 años de experiencia Palabras clave: operator, operario, operator"
2500000,Wilug,Copiapó,Atacama,Administrador de Contratos - Sistema Contra Incendios,"Wilug, en su división minería requiere contratar Administrador de Contrato con experiencia en sistema contra incendio para sus operaciones en ciudad de Copiapó.   FUNCIÓN: Administrar el contrato suscrito entre la empresa y el cliente, en sentido de ser responsable de ejecutar, supervigilar y asegurar el total y estricto cumplimiento de dicho contrato, manteniendo el servicio al cliente en base a la administración de los requerimientos de productividad y rendimiento, asegurando los estándares de calidad, medio ambiente y seguridad exigidos.  REQUISITOS: •	Profesional titulado de la carrera de Ingeniero Civil, construcción, mecánico o especialidad afín  •	5 años de experiencia en Sistemas de Protección Contra Incendios.  •	Experiencia en liderar proyectos o contratos mineros •	Conocimiento en norma NFPA •	Licencia de conducir: Clase B vigente •	Disponibilidad para trabajar por turno 4X3  SE OFRECE:  •	Salario competitivo en función de la experiencia •	Seguro complementario  •	Formación continua y oportunidades de desarrollo profesional  .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Licencias de conducir: B   Disponibilidad de viajar: Si Palabras clave: administrator, system, sistema"
520391,Atcom,Lo Espejo,Metropolitana,Operador de Aseo - Lo Espejo,"Importante empresa está en búsqueda de Operadores de Aseo para su planta ubicada en la comuna de lo espejo.  Requisitos: -Contar con 2 años de experiencia como Operador de Aseo. -Persona adaptable, capaz de desempeñarse eficazmente en entornos caracterizados por bajas temperaturas y condiciones adversas, incluyendo la exposición a olores fuertes. -Educación media completa.   Funciones: -Mantener condiciones de limpieza y orden en los sectores y dependencias de la Empresa (interior y exterior). -Recibir y entregar los artículos e implementos necesarios para la realización de su trabajo. -Manejo de útiles y elementos de aseo. -Realización de otras actividades afines.   Horarios -Lunes a viernes de 08:00 a 17:00 hrs ; y sábado de 08:00 a 13:00 hrs. -1 hora de colación.  Condiciones laborales -520,391 líquidos. -Posibilidad de permanencia y estabilidad. -Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Palabras clave: operator, operario, operator, higiene, cleaning, limpieza"
NaN,NaN,NaN,NaN,NaN,NaN
NaN,Progestion Chile,Rancagua,Libertador B. O Higgins,Reponedores con o sin experiencia / Campaña días 1 y 2 de marzo / Local zona Sexta Región,"Importante empresa de perfumería, aseo y limpieza necesita reponedores para participar de campaña los días 1 y 2 de marzo, en la zona de la sexta región para las comunas de Rancagua, San Fernando, Santa Cruz. Jornada Laboral : SAB Y DOM de 08:00 a 16:00 hrs  Renta : $21.000 Líquidos aproximadamente por día.  Funciones: Ordenar, Reponer y ordenar stock de productos  Requisitos: Contar con experiencia en reposición ruta en supermercados. Contar con disponibilidad inmediata para trabajar  ¡¡ Postula con nosotros !!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 20 y 50 años Palabras clave: area, regional, region, demarcacion, localidad"
1000000,Adecco Chile,San Bernardo,Metropolitana,Analista Químico Producto Terminado - San Bernardo,"¿Tienes experiencia en Control de Calidad de productos terminados y dominio en HPLC?  ¡Entonces esta oportunidad es para ti!  En Adecco estamos en búsqueda de un Analista Químico de Producto Terminado para integrarse a una reconocida empresa del rubro laboratorio, comprometida con la excelencia y la innovación en sus procesos.  Funciones: - Verificar el cumplimiento de especificaciones de calidad en productos terminados y semielaborados. - Preparar y mantener stock de vidrio, reactivos y solventes para análisis. - Completar, mantener y resguardar registros del área de Control de Calidad. - Resguardar contramuestras cuando corresponda. - Informar fallas o problemas en equipos analíticos al Supervisor de Control de Calidad. - Realizar análisis según normas internacionales GMP y GLP. - Participar en el análisis de quejas y reclamos de clientes y consumidores. - Ejecutar cambios de estado, físicos y en sistema informático, de productos semielaborados. - Analizar rechazos de producción y elaborar los informes correspondientes. - Emitir informes de análisis para el Supervisor de Control de Calidad. - Cumplir con políticas, normas y procedimientos internos. - Contribuir a un buen clima laboral y mantener comunicación efectiva con jefaturas y equipos.  Información del puesto: - Ubicación: San Bernardo - Renta: $1.000.000 – $1.100.000 líquidos - Horario: Lunes a jueves de 08:30 a 17:00 hrs. / Viernes hasta las 15:30 hrs.  Requisitos: - Formación técnico o universitaria en el área química o carrera afín. - Experiencia mínima de 2 años como Analista de Control de Calidad en productos terminados. - Experiencia comprobada en análisis químico mediante HPLC. - No se considerará experiencia en análisis de materias primas. - Conocimiento de normas GMP y GLP. - Dominio de técnicas analíticas y manejo de equipos de Control de Calidad. - Manejo de herramientas informáticas a nivel usuario.  Te invitamos a postular si cumples con los requisitos y estás en búsqueda de nuevos desafíos en el área de calidad dentro del rubro laboratorio.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 2 años de experiencia Palabras clave: analyst, product"
NaN,SSI OUTSOURCING ,Las condes,Metropolitana,Jefe de Proyecto Senior para sector Minero,"Descripción del Puesto: Estamos buscando un Jefe de Proyecto Senior altamente experimentado para liderar proyectos de tecnología de la información, garantizando el cumplimiento de objetivos y la satisfacción de los interesados. Si tienes más de 10 años de experiencia comprobada en liderazgo de proyectos tecnológicos, este desafío es para ti. Responsabilidades Principales: Identificar oportunidades con aporte de valor. Especificar requerimientos y diseñar soluciones de sistemas de información. Gestionar recursos y dirigir proyectos con enfoque en resultados. Comunicarse eficientemente con interesados y clientes. Coordinarse con áreas internas de tecnología (Infraestructura, Ciberseguridad, Redes, entre otras). Ofrecer asesorías a clientes y proyectos. Gestionar presupuestos y garantizar la calidad del proyecto. Monitorear el desempeño y liderar equipos hacia la excelencia. Gestionar cambios organizativos y fomentar el aprendizaje continuo. Requisitos: Nivel de Estudios: Ingeniero Civil o profesional equivalente en especialidad afín. Profesionales con menor categoría serán considerados si cuentan con el doble de la experiencia requerida. Experiencia: Al menos 10 años en liderazgo de proyectos, ocupando roles como líder de proyectos, Product Owner, Scrum Master o similar. Conocimientos Técnicos: Experiencia comprobada en al menos 3 de las siguientes áreas:  Proyectos con aplicaciones Legacy. Soluciones de colaboración y contenidos en SharePoint y Office 365. Desarrollo en plataformas de bajo código Office 365. Instalación y parametrización de paquetes de software. Proyectos con robots RPA. Habilitación y parametrización de soluciones SaaS. Implementación de soluciones con IA Generativa. Conocimientos Deseables: Metodologías de gestión de proyectos (ágiles y tradicionales). Manejo de herramientas como Microsoft Project, Primavera o Planner. Conocimiento base en herramientas de desarrollo relacionadas.  ¿Interesado?  Postula y  únete a nuestro equipo y lidera la transformación digital.-Requerimientos- Educación mínima: Magister o Postgrado 10 años de experiencia Palabras clave: lider, jefe, gerente, manager, director, chief, lead, jefatura, regente, project, senior, sr, miner, mineria, minero"
900000,Atcom,Rancagua,Libertador B. O Higgins,Peoneta (carga peligrosa) - Rancagua,"En ATCOM nos encontramos en búsqueda de un Peoneta Movilizador para nuestro cliente del rubro de Gas licuado en la comuna de Rancagua.  ¿Cuál es el objetivo del cargo?  - El Peoneta Movilizador será responsable de realizar la distribución y entrega de cilindros de gas licuado a clientes en la Sexta Región, velando por la correcta manipulación, transporte y despacho de los productos, asegurando siempre el cumplimiento de los estándares de seguridad y calidad establecidos por la empresa.  ¿Cuáles serían tus funciones? - Realizar entregas y recogidas de cilindros de gas licuado en distintos puntos de la Sexta Región, asegurando una gestión eficiente de la carga y descarga. - Transportar los cilindros conforme a las normativas de seguridad y cumplir con las normas de seguridad laboral en su manipulación. - Mantener el vehículo en buen estado, realizar revisiones periódicas y reportar anomalías. - Controlar la entrega y recepción de cilindros, asegurando la correcta gestión de documentos de despacho. - Coordinación y trabajo en equipo: Apoyar en la preparación de cargas y colaborar con el equipo para garantizar un servicio eficiente y oportuno.  ¿Qué necesitas para postular? - Conocimiento básico en manejo de vehículos de carga. - Buen estado físico para realizar labores de carga y descarga de cilindros de gas. - Responsabilidad, puntualidad y compromiso con el trabajo. - Disponibilidad para realizar repartos dentro de la Sexta Región. - Experiencia previa de al menos 1 año en cargos de distribución, transporte o en empresas relacionadas con gas licuado (ideal).  ¿Cuáles son las condiciones? Renta: $900.000 Líquidos aprox. Tipo de jornada: Completa Modalidad: Presencial Lugar de trabajo: Rancagua Horario: lunes a sábado, desde las 08:00 hasta las 16:20Hrs.  ¿Llegaste hasta aquí y sigues interesado/a en la oferta? ¡Postula! .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 25 y 50 años Licencias de conducir: B   "
