Oferta;Salario;Beneficios;Empresa;Descripcion;Ubicacion;Fecha_Publicacion;Fecha_Expiracion
"TECNICO DE SOPORTE Y GESTION DE PROYECTO IT";"A definir";"-Organiza tu tiempo y trabaja algunos días en tu hogar.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"ITSS CORP";"Empresa de servicios informáticos y tecnológicos requiere contratar personal técnico de Soporte Informático, para la atención de usuarios de plataformas computacionales.

Tareas generales:
Realizar soporte de Nivel 1 (Mesa de ayuda)
Realizar soporte de Nivel 2 (Atención remota y/o presencial según corresponda)

Actividades:
• Configuración, soporte y gestión de garantía (Pc, notebook, Tablet, telefonía móvil y fija)
• Proporcionar servicios y soporte al Hardware incluyendo imágenes, despliegue, reparación, actualización y administración de activos.
• Proporcionar servicios de software de usuario final para Windows, iOS, Mac, Android
• Proporcionar servicio de soporte a usuarios de sitios remotos (usuario final de servicio en su ubicación)
• Proporcionar soporte in situ para la red de usuarios, actualizaciones de hardware o proyectos
• Administrar e informar el inventario del hardware.
• Instalar y configurar la tecnología a ser empleada en los clientes empresas por eje.: equipos, sistemas operativos, programas y aplicaciones.
• Realizar diagnósticos de funcionamiento del hardware y el software.
• Encontrar soluciones a cualquier falla e implementarlas.
• Reemplazar las partes dañadas en los equipos cuando sea necesario.
• Realizar la solicitud de las piezas nuevas cuando falten en el inventario.
• Elaborar informes sobre el estado de los equipos y sistemas de la empresa.
• Aprender, realizar pruebas y evaluar sobre nuevas aplicaciones o sistemas operativos, para su implementación.
• Configurar perfiles, correos electrónicos y accesos para los nuevos ingresos, además de brindar asistencia en todo lo relacionado con contraseñas.
• Realizar revisiones de seguridad en todos los sistemas.
• Realizar informes semanales con el reporte de actividades desarrolladas.
• Ingresar requerimientos y mantener ITSM (Herramienta Gestion de Ticket)

Consideraciones:
Contar con disponibilidad de asistir como un integrante del equipo de Soporte Técnico siendo capaz de asistir a cualquier cliente de ITSS Corp a cumplir sus actividades.
Ser responsable de cumplir, con tiempos de respuesta y solución, nivel de satisfacción, recepcionar y registrar los requerimientos e incidencias de usuarios.
Se tomara a mejor evaluación, personas responsables, comprometidas, honestas, proactivas con disposición para crecer y aportar a la organización.

INDICAR PRETENSIONES DE RENTA Y DISPONIBILIDAD";"Santiago";"2025-03-20 07:58:30";"2025-06-03 (en 71 días)"
"EJECUTIVO CALL CENTER";"580000";"";"Inelcom Chile";"¡Inelcom Chile está Contratando! Operador Call Center

Inelcom Chile, empresa contratista de telecomunicaciones, está en búsqueda de Operadores telefónicos, para entregar atención a los clientes y unirse a nuestro equipo. Turnos rotativos, modalidad mixta (09:00 a 21:00 hrs.).

Las funciones principales son:

Atender los requerimientos y solicitudes de clientes de forma telemática, utilizando para ello las herramientas digitales proporcionadas por la empresa, para entregar una solución eficiente a la solicitud realizada, haciendo un uso racional de las mismas en base a la metodología definida por la organización.

• Identificar la necesidad de los clientes, para entregar respuesta eficiente a su requerimiento.

• Retroalimentar a las áreas internas a través de las lecciones aprendidas, con el objetivo de mejorar la atención, procesos, sistemas, etc.

• Escalar por medio de su supervisor posibles de anomalías producidas en el servicio.

• Otras labores propias del cargo y tareas encomendadas por el líder a cargo.

Lo que Ofrecemos:
• Ambiente dinámico y colaborativo
• Oportunidades de crecimiento y desarrollo profesional
• jornada de Trabajo de lunes a domingo, 44 horas semanales, turnos rotativos (entre las 09:00 a 21:00).

Cómo Postular: Interesados enviar CV a reclutamiento@inelcomchile.cl indicando en el asunto "Postulación Operador Call Center, e incluir pretensiones de renta.

Ubicación: Santiago - centro. Modalidad de Asistencia: Mixta

En Inelcom Chile, promovemos la inclusión y la diversidad. Invitamos a postular a personas en situación de discapacidad. ¡Únete a nuestro equipo y contribuye al éxito de proyectos innovadores en el sector de telecomunicaciones.";"Santiago";"2025-03-20 18:20:19";"2025-06-03 (en 71 días)"
"ADMINISTRADOR DE PLATAFORMAS";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-¡Come saludablemente!, la oficina tiene a disposición bebestibles y snacks.
-Cuidamos sus pertenencias y ofrecen un lugar para estacionar bicicletas.
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Adaptive Security";"¡Únete a Nuestro Equipo como Administrador de Plataformas!

¿Te apasiona la ciberseguridad y quieres ser parte de un equipo que protege infraestructuras críticas? Si eres de los que disfruta resolver problemas, analizar tráfico de red y mantener la seguridad de sistemas robustos, esta es tu oportunidad.

Tu misión:

Ser el héroe anónimo que mantiene las plataformas de seguridad en perfecto estado.
Atender incidentes y requerimientos de clientes, asegurando soluciones rápidas y efectivas.
Aplicar parches, actualizaciones y ejecutar tareas correctivas cuando sea necesario.
Generar informes detallados sobre incidentes y estrategias de mitigación.
Trabajar con tecnologías de vanguardia y colaborar con expertos en el área.

Lo que necesitamos de ti:

Experiencia con plataformas de seguridad:
- SentinelOne (mínimo 2 años)
- TrendMicro (mínimo 1 año)
- Cloudflare (mínimo 2 años)
Conocimiento avanzado en TCP/IP, análisis de paquetes y logs.
Familiaridad con Windows y Linux.
Capacidad de documentar y generar informes técnicos de calidad.
Deseable: Certificación Fortinet NSE4 e inglés intermedio.

Lo que ofrecemos:

Un entorno dinámico donde cada día es un nuevo reto.
La oportunidad de trabajar con tecnologías avanzadas y en proyectos de alto impacto.
Desarrollo profesional con acceso a certificaciones y capacitaciones.
Un equipo apasionado por la seguridad y el crecimiento constante.

Si te emociona la idea de ser un guardián digital y enfrentar desafíos de seguridad con las mejores herramientas, ¡queremos conocerte!
Postula ahora y conviértete en un pilar clave de nuestro equipo de ciberseguridad.";"Santiago";"2025-03-20 17:56:42";"2025-06-03 (en 71 días)"
"DESARROLLADOR BACKEND - PYTHON";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Kibernum";"¡Únete a nuestro equipo como Desarrollador Backend para uno de nuestros mas importantes cliente y expande tu experiencia con nosotros !

Estamos en la búsqueda de profesionales altamente proactivos y orientados al logro de resultados para formar parte de nuestro talentoso equipo. Si cuentas con al menos 2 años de experiencia en el cargo, ¡queremos conocerte!

Requisitos:
Profesional titulado de ingeniería en informática o carrera similar.
Experiencia mínima de 2 años en el cargo.
Experiencia de a lo menos 2 años en Python (enfocado a análisis de datos. Lógica de conciliación, desarrollar lógica para entender la transacción) JSON
Experiencia de a lo menos 2 años en AWS (uso de Lambda, ECS, DynamoDB y Cloudwatch) su estructura y saber cómo funcionan
Experiencia de a lo menos 2 años en Jira.
Experiencia de a lo menos 2 años en metodologías agiles.
Manejo de cualquier control de versiones de Gitlab. (ej. bitbucket).
Conocimiento deseable en Elasticsearch (se utilizara solo para enviar datos).
Experiencia deseable en el sector financiero o de banca.

Ofrecemos:
Contrato inicial de plazo fijo de 1 mes, renovable por 3 meses, pasando al 4to mes se ofrece indefinido.
Modalidad hibrida: 1 vez presencial, los otros días remoto.
Lugar de trabajo presencial en Las Condes.
Horario de lunes a viernes de 09:00 a 18:00 hrs.
Beneficios: Seguro complementario, aguinaldo de fiestas patrias y navidad en UF, reajuste salarial trimestral, diversos convenios (opticas, entretenimiento familiar, salud, entre otros).

Si cumples con los requisitos y estás listo para asumir este desafío, te invitamos a enviar tu CV actualizado a noelia.barrera@kibernum.com indicando el cargo al que postulas y tus pretensiones de renta. ¡Postúlate ahora!";"Santiago";"2025-03-19 16:30:48";"2025-06-02 (en 70 días)"
"AGENTE SOPORTE CLIENTES FACTURA ELECTRÓNICA (SANTIAGO)";"None";"";"BCN";"Empresa de soluciones tecnológicas, requiere contratar para Santiago.
Agente soporte para clientes/usuarios con ERP de Factura Electrónica.

FUNCIONES
Atención telefónica y por mail de los soportes solicitados de clientes usuarios de software de factura electrónica.

Revisión de eventuales errores del software, detallar problemas ocurridos para derivar requerimiento de correcciones al área de desarrollo.

EXPERIENCIA
Conocimiento de modelo de operación de factura electrónica.
1 año.

FORMACIÓN ACADÉMICA
Analista Programador computacional - Analista de Sistemas.

HORARIO DE TRABAJO
Lunes a viernes, Turnos: 08:30 A 17:30 // 10:30 A 20:00 hrs.

CONTRATO
Fijo 1 Mes; Renovación Fijo por 2 meses; tercer mes pasa a indefinido.
Primer mes Full Oficina: Segundo mes en adelante Híbrido: 3 días Home Office + 2 días Oficina ubicada en la comuna de Providencia

Renta líquida: $700.000 con conocimientos básicos de factura electrónica.
1.000.000 – Experiencia “Comprobable” de trabajo, a lo menos 1 año, en área de Factura Electrónica” de Empresas proveedoras de Facturación.

Interesados que cumplan con el perfil enviar CV a claudiahav@gmail.com indicando cargo al que postulan.";"Santiago";"2025-03-19 11:02:29";"2025-06-02 (en 70 días)"
"SOLICITAMOS TÉCNICOS DIRECTV FTTH";"1.000.000";"-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa provee el uniforme de trabajo
";"SySTel Services";"Solicitamos técnico instalador Directv, tanto en la parte satelital como en la de internet por fibra óptica:

Conocimientos Técnicos Esenciales:

* Equipos: Dominio en la instalación, configuración y mantenimiento de equipos de telecomunicaciones como routers, switches, módems, decodificadores y antenas satelitales.

* Sistemas: Conocimiento en sistemas operativos como Windows.

* Tecnología: Entendimiento de tecnologías como fibra óptica, sistemas inalámbricos y tecnologías móviles.

* Seguridad: Conocimientos básicos en seguridad informática y medidas de protección de datos.



Habilidades Prácticas:

* Instalación: Experiencia en la instalación de equipos satelitales, antenas y redes de fibra óptica.

* Solución de problemas: Capacidad para diagnosticar y solucionar problemas técnicos de forma rápida y eficiente.

* Trabajo en campo: Disponibilidad para realizar trabajos en exteriores y en diferentes condiciones climáticas.

* Atención al cliente: Habilidades de comunicación y atención al cliente para interactuar con los usuarios de forma clara y amable.

Requisito (Excluyente):

* Poseer licencia de conducir Tipo B
* Haber tenido certificaciones específicas de Directv y Certificación DTTH DIRECTV

Otras Competencias:

* Trabajo en equipo: Capacidad para trabajar en equipo y colaborar con otros técnicos.

* Orientación a resultados: Compromiso con la calidad del servicio y la satisfacción del cliente.

* Aprendizaje continuo: Disposición para mantenerse actualizado en las últimas tecnologías y tendencias del sector.

Se asigna Auto y materiales de trabajo.";"Santiago";"2025-03-19 21:04:04";"2025-06-02 (en 70 días)"
"TECNICO TELECOMUNICACIONES";"$950.000.-";"";"REDCELL";"Importante empresa de telecomunicaciones se encuentra en la búsqueda de técnicos para área domiciliaria con experiencia en HFC y FTTH, para proyecto en la región Metropolitana.

Requisitos
Enseñanza media completa
Experiencia comprobable en el rubro de a lo menos 1 año
Licencia de conducir vigente clase B (excluyente)

Se ofrece
Jornada laboral de 44 horas
Sueldo acorde al mercado
Estabilidad laboral";"Santiago";"2025-03-18 10:49:06";"2025-06-01 (en 69 días)"
"ANALISTA PROGRAMADOR Y SOPORTE";"None";"";"Empresa del rubro Inmobiliario";"Para la ciudad de CONCEPCIÓN, empresa del rubro Inmobiliario requiere contratar profesional para el desarrollo de aplicaciones, crear modelo de base de datos, dar soporte y mantenimiento a aplicaciones desarrolladas; desarrollo de integraciones entre distintos sistemas, construir desarrollos para mejoras de las aplicaciones y brindar soporte a usuarios internos. (100% PRESENCIAL)

Requisitos del cargo:
• Profesional de Ingeniería Informática, Ingeniería de Software, Analista Programador o carrera afín.
• Experiencia demostrable en programación con lenguaje C#, .NET y Framework, deseable conocimiento en Python y/o PHP.
• Experiencia en base de datos MSSQL, procedimientos almacenados, ETL y Trigger.
• Experiencia con Microsoft Power BI
• Deseable conocimiento en PostgreSQL (no excluyente).
• Deseable conocimiento en IDE desarrollo web
• Capacidad de análisis y de síntesis.
• Proactivo(a), metódico(a) y ordenado(a)
• Capacidad de trabajo en equipo.
• Compromiso, responsabilidad y puntualidad.

Se ofrece:
• Contrato indefinido (Posterior al periodo de prueba)
• Trabajo presencial 100%
• Seguro de Salud
• Seguro de Vida
• Actualización de Renta 2 veces al año según variación IPC
• Aguinaldo Fiestas Patrias y Navidad
• Giftcard Navidad
• Estacionamiento gratis";"Concepción";"2025-03-18 15:08:11";"2025-06-01 (en 69 días)"
"EJECUTIVO CALLCENTER";"200000 + Comisiones y Bonos";"-Utiliza lo que desees, sin dresscode.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"DUES Ltda - Administración de Recaudaciones";"Somos una empresa de CallCenter dedicada al Fundraising, en este momento estamos reclutando ejecutivos proactivos, dinámicos, responsables , alegres, que les guste trabajar en equipo.

Comprometidos en trabajar en causas nobles como ONG Ambientalistas, Sociales, de Niños, Etc

Contamos con un excelente ambiente laboral y muchas ganas de trabajar!

Trabajamos 04:00 Horas diarias de Lunes a Viernes contando con dos jornadas:

*AM 09:30 A 13:30
*PM 14:00 A 18:00

(Doble turno Opcional, teletrabajo luego de 3 meses)

Boleta de Honorarios con posibilidad de contrato

*Sueldo Base de 200.000 + Comisiones y bono por metas!

*Sueldo promedio 300.000

Enviar CV para postular y seran citados para Marzo!";"Santiago";"2025-03-18 11:38:12";"2025-06-01 (en 69 días)"
"INGENIERO EN REDES Y TELECOMUNICACIONES";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa incluye casino para la alimentación
-La empresa provee el uniforme de trabajo
";"Netgroup Chile";"Estamos en la búsqueda de un Ingeniero en Redes para unirse a nuestro equipo de trabajo, será responsable de diseñar, implementar, modificar o corregir soluciones, que permitan asegurar la conectividad, estabilidad, seguridad, monitoreo de equipamientos y sistemas, para ello, debe contar con sólidos conocimientos en enrutamiento dinámico, administración de equipamiento principalmente Firewalls Fortinet y Sonicwall, equipos Cisco.
Responsabilidades
- Diseñar e Implementar soluciones LAN, Wan y Failover sobre capa 2 y 3
- Implementar soluciones sobre enrutamiento dinámico
- Monitorear estado de enlaces y equipamientos, para garantizar disponibilidad
- Implementar políticas de seguridad de acceso
- Gestionar resolución de incidencias
Requisitos
- Título Ingeniero en Conectividad y Redes
- Experto en Firewall Fortinet y FortiManager
- Experiencia mínima 4 años
- Amplio conocimiento en protocolos de enrutamiento
- Administración de Firewalls Fortinet y Sonicwall
- Configuración equipamiento Cisco, Aruba, Dell
- Gran resolución de problema y análisis

Ofrecemos
- Sueldo acorde al mercado
- Contrato plazo fijo e indefinido
- Seguro complementario de salud
- Grato ambiente laboral";"Santiago";"2025-03-24 04:15:48";"2025-06-07 (en 75 días)"
"TÉCNICO EN COMUNICACIONES";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-La empresa es capaz de otorgar vacaciones pagadas adicionales.
-La empresa provee un bus de acercamiento
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa incluye casino para la alimentación
";"Eunike Consultoría en RR.HH.";"Empresa de Servicios a la Minería de la Región de Antofagasta, requiere contratar para su faena ubicada en la ciudad de Mejillones, TÉCNICO EN COMUNICACIONES, requisitos indispensables Técnico en Comunicaciones o carrera afin, con 3 años de experiencia comprobable en cargos de apoyo y ejecución en labores de soporte en equipos de comunicaciones e infraestructura tecnológica con el fin de contribuir a la operación segura. Sistema de turno 7x7. Se ofrece sueldo acorde al mercado, alimentación, alojamiento, traslados y beneficios (seguros vida, complementario salud y dental). Se requiere licencia de conducir Clase B.";"Antofagasta";"2025-03-18 17:13:55";"2025-06-01 (en 69 días)"
"DESARROLLADOR FULL STACK - BANCA";"Negociable";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Kabeli Selección";"Desarrollador Full Stack – Rubro Bancario (Remoto)

En Kabeli, estamos en búsqueda de un Desarrollador Full Stack para colaborar con un cliente del sector bancario en el desarrollo de productos digitales.

¿Qué buscamos?
Experiencia sólida en programación orientada a objetos.
Trabajo bajo metodologías ágiles.

Experiencia en:
React.js, Node.js, NestJS y TypeScript.
Confluent Kafka u otras colas de mensajería.
Servicios de AWS (Amazon S3, AWS Lambda, AWS Glue, Athena, entre otros).

Beneficios:
2 días administrativos al año.
Día libre en tu cumpleaños.
Bonos por Fiestas Patrias y Navidad.
Acceso a Udemy para potenciar tu desarrollo profesional.
Seguro complementario de salud, vida y dental.";"Santiago";"2025-03-18 17:57:28";"2025-06-01 (en 69 días)"
"TECNICO TELECOMUNICACIONES DTH";"$950.000.-";"-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa provee el uniforme de trabajo
";"REDCELL";"Importante empresa de telecomunicaciones se encuentra en la búsqueda de técnicos para área domiciliaria con experiencia instalaciones ,servicio técnico en DTH, para proyecto en region metropolitana.

Requisitos
Enseñanza media completa
Experiencia comprobable en el rubro de a lo menos 1 año
Licencia de conducir vigente clase B (excluyente)

Se ofrece
Capacitación y certificación para que te conviertas en un experto.
Jornada laboral de 44 horas
Sueldo acorde al mercado
Estabilidad laboral";"Santiago";"2025-03-18 10:50:40";"2025-06-01 (en 69 días)"
"ASISTENTE DE DESPACHO - ÁREA TELECOMUNICACIONES - ANTOFAGASTA";"700.000";"";"EMETEL";"Somos una Empresa de Telecomunicaciones y estamos en la búsqueda de Asistente de Despacho (Deseable experiencia en el área de Telecomunicaciones)
Confirmar disponibilidad de técnicos y programar citas conforme a las preferencias horarias de los clientes y la disponibilidad de los técnicos.
Confirmar las citas con los clientes antes de la visita para asegurarse de que estén disponibles.
Utilizar sistema de gestión de agenda para organizar y actualizar las citas, asegurando que todos los detalles estén correctos.
Coordinar la logística relacionada con la visita del técnico (horarios, lugar, etc.)
En caso de necesitar reprogramar o cancelar una cita, gestionar el cambio de manera rápida y eficaz.

Requisitos
Experiencia de 6 meses en atención al cliente
Manejo de Script de llamados, paquete office y drivers, manejo de herramientas de comunicación (Teléfonos, chats) , habilidades de digitalización y trabajo con bases de datos.
Licencia Media completa (Excluyente)
Disponibilidad para trabajar modalidad 100% presencial
Actitud positiva, proactiva y orientada al cumplimiento de metas
Contrato plazo fijo.
Te esperamos";"Antofagasta";"2025-03-17 11:41:03";"2025-05-31 (en 68 días)"
"DBA SAP HANA SENIOR";"11111111";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"IT People";"Administrador de bases de datos SAP HANA Senior

Descripción de Tareas:
- Colaborar estrechamente con equipos interfuncionales para recopilar requisitos y apoyar a los equipos de SAP en la ejecución de iniciativas relacionadas con bases de datos.
- Automatizar el aprovisionamiento y la configuración de la infraestructura en la nube, asegurando despliegues eficientes y confiables.

Requisitos:
- Más de 5 años de experiencia como Administrador de Base de datos SAP HANA Senior.
- Experiencia comprobada en la planificación, implementación, soporte y optimización de sistemas de bases de datos SAP HANA altamente escalables y resistentes.
- Capacidad para colaborar eficazmente con equipos multifuncionales para recopilar requisitos y convertirlos en alcances medibles.
- Conocimientos en plataformas de nube pública como GCP, AWS o Azure. Comprende los principios y metodologías ágiles.
- Conocimiento de Cassandra para orquestación de contenedores y escalabilidad, Kafka, Redis, Hadoop o Postgres.

Condiciones:
- Nivel de Inglés: Avanzado (C1) Se requiere trabajar con Alemania.
- Duración de la Asignación: +12 meses, con posibilidad de internalización
- Modalidad de Trabajo 100% remoto
- Horario de Trabajo: 09:00 a 18:00 hrs";"Santiago";"2025-03-17 13:19:10";"2025-05-31 (en 68 días)"
"TÉCNICO EN TELECOMUNICACIONES RM";"None";"-¡La salud es lo más importante! La empresa paga el seguro de vida
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa provee el uniforme de trabajo
";"Reclutamiento XR3";"En XR3, una empresa contratista del sector de Telecomunicaciones para mandante ClaroVTR, estamos en búsqueda de técnicos, Mujeres y Hombres que deseen unirse a nuestro equipo.

¿Qué buscamos?

• Personas con enseñanza media completa, idealmente que provengan de carreras de Telecomunicaciones o electricidad.
• Se aceptan postulantes con o sin experiencia previa.
• Experiencia en fibra óptica es valorada.
• Disponibilidad para participar en capacitaciones presenciales, siendo esencial su aprobación.
• Experiencia mínimo 6 meses en instalación y reparación de equipos de telecomunicaciones, así como en atención al cliente (deseable).
• Conocimientos técnicos en redes, sistemas de transmisión y dispositivos de conectividad.
• Capacidad para trabajar tanto de forma autónoma y en equipo, velando por la calidad y satisfacción del cliente.
• Compromiso con el aprendizaje
• Aptitud para trabajos en altura (exámenes físicos requeridos).
• Licencia de conducir, Clase B (excluyente).
• Disponibilidad para trabajo en terreno.
• Extranjeros con permanencia definitiva (excluyente).

Ofrecemos:

• Sueldo base + variable (compuesto de bonos por producción)
• Capacitación certificada
• Jornada laboral, de lunes a sábado, (44 horas semanales.)
• Oportunidades de especialización en diversas tecnologías.
• Jornada laboral diurna de Lunes a sábado.
• Inicialmente a plazo fijo, con posibilidad de pasar a indefinido tras evaluación.
• Desarrollo profesional, dentro del sector de telecomunicaciones.
• Seguro de vida y caja de compensación.


Si eres una persona comprometida, con ganas de ser parte del mundo TELCO, ¡esperamos tu postulación!";"Santiago";"2025-03-15 01:12:48";"2025-05-29 (en 66 días)"
